,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore
18893,400033,0,75,5.6000000000000005,4,2,1,421
18896,829158,0,56,5.2,4,2,1,421
18904,4659806,2,25,13.200000000000001,2,1,3,213
18926,4659671,2,70,8.2,2,2,2,222
18931,400595,0,120,13.200000000000001,4,3,3,433
18934,1966924,2,109,6.0,2,3,2,232
18935,209346,1,42,5.4,2,2,1,221
18954,4660758,2,35,6.4,2,1,2,212
18960,29305,0,71,6.6000000000000005,4,2,2,422
18971,397535,0,201,5.2,4,4,1,441
18972,56788,1,27,5.0,2,1,1,211
18981,844999,0,249,13.8,4,4,3,443
18989,778292,0,132,6.2,4,3,2,432
18990,1760494,0,69,4.6,4,2,1,421
19002,73148,0,100,6.0,4,3,2,432
19013,462436,0,198,11.600000000000001,4,4,3,443
19015,83459,1,153,5.4,2,4,1,241
19029,462086,0,31,6.0,4,1,2,412
19032,463337,0,196,21.400000000000002,4,4,4,444
19047,462845,2,39,4.2,2,1,1,211
19056,717242,0,180,9.6,4,4,3,443
19077,2222317,0,30,12.600000000000001,4,1,3,413
19082,2224238,1,40,5.0,2,1,1,211
19083,3266149,0,326,30.400000000000002,4,4,4,444
19090,3437,0,144,7.0,4,4,2,442
19093,801761,0,109,26.400000000000002,4,3,4,434
19099,273654,0,84,4.4,4,3,1,431
19106,3569,2,37,4.6,2,1,1,211
19107,2224347,0,69,9.200000000000001,4,2,3,423
19113,3713707,0,53,6.6000000000000005,4,2,2,422
19126,226171,1,70,8.2,2,2,2,222
19133,204376,0,173,6.4,4,4,2,442
19135,3713795,0,118,8.600000000000001,4,3,2,432
19143,1517699,4,32,20.200000000000003,1,1,4,114
19151,4676644,0,40,5.800000000000001,4,1,1,411
19155,466196,0,80,5.6000000000000005,4,3,1,431
19161,176500,2,102,6.0,2,3,2,232
19170,716949,3,68,12.200000000000001,1,2,3,123
19186,225962,0,251,12.8,4,4,3,443
19189,4611363,0,116,6.800000000000001,4,3,2,432
19196,84468,2,80,6.0,2,3,2,232
19208,3711113,0,70,4.800000000000001,4,2,1,421
19237,4619518,0,80,6.0,4,3,2,432
19248,81366,1,87,6.4,2,3,2,232
19257,881077,1,121,6.6000000000000005,2,3,2,232
19266,3275034,0,125,8.0,4,3,2,432
19267,457368,0,103,7.2,4,3,2,432
19286,4675340,2,13,5.0,2,1,1,211
19294,323235,1,165,5.800000000000001,2,4,1,241
19302,2202847,1,54,11.8,2,2,3,223
19321,723046,0,76,9.0,4,2,2,422
19322,2199881,4,22,4.6,1,1,1,111
19328,720056,0,109,7.2,4,3,2,432
19329,340782,0,210,6.800000000000001,4,4,2,442
19337,350264,0,160,5.4,4,4,1,441
19342,322255,0,103,8.0,4,3,2,432
19362,719670,0,119,10.0,4,3,3,433
19386,1903005,0,82,9.8,4,3,3,433
19393,2212904,2,58,6.0,2,2,2,222
19412,3271671,1,64,6.6000000000000005,2,2,2,222
19413,350490,0,88,6.0,4,3,2,432
19444,708368,0,38,9.200000000000001,4,1,3,413
19464,227238,0,99,4.2,4,3,1,431
19478,707956,0,55,6.2,4,2,2,422
19497,343981,0,90,10.8,4,3,3,433
19506,709537,0,149,5.0,4,4,1,441
19507,344088,2,58,5.2,2,2,1,221
19511,805830,0,34,8.0,4,1,2,412
19529,896011,0,88,5.4,4,3,1,431
19536,4601220,2,37,4.2,2,1,1,211
19555,898857,0,129,10.4,4,3,3,433
19563,477475,1,66,6.2,2,2,2,222
19571,4678450,0,89,5.6000000000000005,4,3,1,431
19572,2287551,2,59,8.2,2,2,2,222
19579,203193,0,293,12.200000000000001,4,4,3,443
19591,4595346,1,175,10.0,2,4,3,243
19593,478054,0,49,5.800000000000001,4,2,1,421
19599,476432,0,30,5.0,4,1,1,411
19616,275326,2,65,5.0,2,2,1,221
19621,897783,0,229,6.0,4,4,2,442
19622,170493,0,142,9.0,4,4,2,442
19641,3738219,2,52,4.6,2,2,1,221
19654,3251893,0,71,5.2,4,2,1,421
19666,713203,0,70,5.0,4,2,1,421
