,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore,Segment
5713,306305,0,55,6.8,4,2,2,422,others
5714,1767822,0,13,5.0,4,1,1,411,others
5715,1769664,0,70,7.6,4,2,2,422,others
5716,4675421,2,28,5.2,2,1,1,211,Almost lost user
5717,553562,0,63,7.800000000000001,4,2,2,422,others
5718,1822588,0,40,7.0,4,1,2,412,others
5719,1780283,4,28,5.2,1,1,1,111,Lost user
5720,307479,1,22,7.800000000000001,2,1,2,212,Almost lost user
5721,1785167,4,24,7.4,1,1,2,112,Lost user
5722,4675503,0,30,5.2,4,1,1,411,others
5723,546077,1,32,8.0,2,1,2,212,Almost lost user
5724,1796491,0,85,19.0,4,3,4,434,Big contributor
5725,543957,6,20,5.2,1,1,1,111,Lost user
5726,4675553,1,10,5.2,2,1,1,211,Almost lost user
5727,542923,2,72,6.2,2,2,2,222,Almost lost user
5728,4666876,5,31,5.0,1,1,1,111,Lost user
5729,216511,4,22,6.8,1,1,2,112,Lost user
5730,1744688,0,30,5.0,4,1,1,411,others
5731,1739110,0,56,8.0,4,2,2,422,others
5732,575490,1,107,7.0,2,3,2,232,Almost lost user
5733,576030,2,20,5.2,2,1,1,211,Almost lost user
5734,1691083,4,5,5.4,1,1,1,111,Lost user
5735,591989,1,43,5.6,2,2,1,221,Almost lost user
5736,1691755,0,68,6.0,4,2,2,422,others
5737,591385,2,31,6.8,2,1,2,212,Almost lost user
5738,1709274,3,5,5.2,1,1,1,111,Lost user
5739,588709,0,28,6.2,4,1,2,412,others
5740,1718050,2,34,5.2,2,1,1,211,Almost lost user
5741,588297,0,58,9.0,4,2,2,422,others
5742,4667038,6,15,5.2,1,1,1,111,Lost user
5743,586324,0,175,14.8,4,4,3,443,Loyal user
5744,585594,0,62,6.6,4,2,2,422,others
5745,580874,0,60,5.0,4,2,1,421,others
5746,1726512,1,64,8.8,2,2,2,222,Almost lost user
5747,580160,1,102,5.4,2,3,1,231,Almost lost user
5748,579174,5,20,6.6,1,1,2,112,Lost user
5749,1734487,5,20,5.2,1,1,1,111,Lost user
5750,577803,0,30,5.8,4,1,1,411,others
5751,302562,2,33,9.8,2,1,3,213,Almost lost user
5752,219136,0,85,7.0,4,3,2,432,others
5753,1737303,2,54,5.6,2,2,1,221,Almost lost user
5754,577203,0,137,5.6,4,3,1,431,others
5755,576976,2,8,5.0,2,1,1,211,Almost lost user
5756,576532,3,21,5.0,1,1,1,111,Lost user
5757,1820731,4,32,5.2,1,1,1,111,Lost user
5758,216205,5,30,9.0,1,1,2,112,Lost user
5759,679169,2,133,10.4,2,3,3,233,Almost lost user
5760,4666085,4,34,5.0,1,1,1,111,Lost user
5761,1909393,1,10,5.2,2,1,1,211,Almost lost user
5762,213631,0,111,21.8,4,3,4,434,Big contributor
5763,524973,1,144,18.0,2,4,4,244,Almost lost best user
5764,523451,0,17,5.8,4,1,1,411,others
5765,312263,1,51,6.8,2,2,2,222,Almost lost user
5766,522021,1,72,5.2,2,2,1,221,Almost lost user
5767,521717,0,44,7.2,4,2,2,422,others
5768,312381,0,104,10.4,4,3,3,433,others
5769,520940,2,30,5.4,2,1,1,211,Almost lost user
5770,1922268,0,77,12.2,4,2,3,423,others
5771,1927574,5,16,5.2,1,1,1,111,Lost user
5772,518358,0,61,6.2,4,2,2,422,others
5773,1833648,1,132,9.4,2,3,3,233,Almost lost user
5774,4060,5,40,5.2,1,1,1,111,Lost user
5775,4675940,0,42,5.0,4,2,1,421,others
5776,515070,2,12,5.8,2,1,1,211,Almost lost user
5777,1929993,0,63,10.2,4,2,3,423,others
5778,513188,0,46,15.600000000000001,4,2,3,423,others
5779,511888,4,32,5.2,1,1,1,111,Lost user
5780,511088,0,66,31.200000000000003,4,2,4,424,Big contributor
5781,1943075,6,70,5.2,1,2,1,121,Lost user
5782,315853,0,65,5.4,4,2,1,421,others
5783,4665883,5,6,5.2,1,1,1,111,Lost user
5784,498530,0,143,13.200000000000001,4,4,3,443,Loyal user
5785,1908901,3,46,6.0,1,2,2,122,Lost user
5786,1908305,2,17,5.0,2,1,1,211,Almost lost user
5787,525699,0,85,9.4,4,3,3,433,others
5788,311698,0,37,6.0,4,1,2,412,others
5789,539778,2,52,6.8,2,2,2,222,Almost lost user
5790,539681,5,10,5.0,1,1,1,111,Lost user
5791,539112,3,19,5.4,1,1,1,111,Lost user
5792,537979,3,69,8.2,1,2,2,122,Lost user
5793,535380,0,47,5.4,4,2,1,421,others
5794,535157,0,47,6.2,4,2,2,422,others
5795,534250,1,43,5.8,2,2,1,221,Almost lost user
5796,1857298,0,71,12.4,4,2,3,423,others
5797,533946,2,64,7.2,2,2,2,222,Almost lost user
5798,533295,1,280,12.0,2,4,3,243,Almost lost user
5799,533284,0,139,6.0,4,3,2,432,others
5800,4666596,6,57,7.0,1,2,2,122,Lost user
5801,310850,1,28,9.8,2,1,3,213,Almost lost user
5802,1875621,0,69,6.4,4,2,2,422,others
5803,43959,0,50,10.0,4,2,3,423,others
5804,4675667,1,7,5.0,2,1,1,211,Almost lost user
5805,529184,2,109,14.600000000000001,2,3,3,233,Almost lost user
5806,1902197,1,25,6.6,2,1,2,212,Almost lost user
5807,528433,0,197,19.200000000000003,4,4,4,444,Best user
5808,4507,2,24,6.4,2,1,2,212,Almost lost user
5809,1902737,6,12,5.0,1,1,1,111,Lost user
5810,527663,0,67,7.800000000000001,4,2,2,422,others
5811,527429,0,72,15.600000000000001,4,2,3,423,others
5812,4674656,2,4,5.0,2,1,1,211,Almost lost user
5813,596261,0,105,7.800000000000001,4,3,2,432,others
5814,597721,2,38,5.6,2,1,1,211,Almost lost user
5815,650143,6,13,5.0,1,1,1,111,Lost user
5816,1493663,0,82,18.0,4,3,4,434,Big contributor
5817,658957,0,58,7.2,4,2,2,422,others
5818,285525,1,56,6.2,2,2,2,222,Almost lost user
5819,656478,2,37,5.8,2,1,1,211,Almost lost user
5820,655606,0,122,8.2,4,3,2,432,others
5821,1504980,2,14,5.4,2,1,1,211,Almost lost user
5822,652584,0,66,6.0,4,2,2,422,others
5823,651736,0,114,9.2,4,3,3,433,others
5824,651335,0,29,6.6,4,1,2,412,others
5825,1519766,0,118,8.4,4,3,2,432,others
5826,1519832,0,243,7.2,4,4,2,442,Loyal user
5827,287479,0,30,5.8,4,1,1,411,others
5828,598216,0,52,21.6,4,2,4,424,Big contributor
5829,1524620,0,32,5.8,4,1,1,411,others
5830,649167,0,38,6.6,4,1,2,412,others
5831,288068,0,102,52.400000000000006,4,3,4,434,Big contributor
5832,4667424,2,14,5.2,2,1,1,211,Almost lost user
5833,288392,0,123,8.0,4,3,2,432,others
